# step_id=0
# t=0.000000000000e+00
# Ts=3.000000000000e+02
# mpp=0.000000000000e+00
# Rd=1.000000000000e-04
#
phase,r,T,Y_N2,Y_O2,Y_NC7H16,Y_NC12H26,Y_n-Dodecane
gas,1.010000000000e-04,3.281418095287e+02,7.900002001504e-01,2.099997998496e-01,0.000000000000e+00,3.560869817139e-123,
gas,1.030005521604e-04,3.840530918435e+02,7.899999999990e-01,0.000000000000e+00,1.048589075043e-12,2.100000000000e-01,
gas,1.050033147923e-04,4.388761569871e+02,7.899990469031e-01,9.530969841188e-07,2.099999999999e-01,0.000000000000e+00,
gas,1.070105056971e-04,4.919479226425e+02,7.900001805814e-01,2.099998194186e-01,0.000000000000e+00,4.126505806869e-137,
gas,1.090243573768e-04,5.426637591941e+02,7.899999999997e-01,0.000000000000e+00,3.379934767202e-13,2.100000000000e-01,
gas,1.110471244855e-04,5.904958990562e+02,7.899991400885e-01,8.599115135942e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.130810914043e-04,6.350082710467e+02,7.900001613933e-01,2.099998386067e-01,0.000000000000e+00,5.283273504971e-153,
gas,1.151285799811e-04,6.758671365201e+02,7.899999999999e-01,0.000000000000e+00,9.934066517607e-14,2.100000000000e-01,
gas,1.171919574798e-04,7.128471220320e+02,7.899992314603e-01,7.685397383549e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.192736447831e-04,7.458324840106e+02,7.900001428182e-01,2.099998571818e-01,0.000000000000e+00,3.639542072787e-171,
gas,1.213761248976e-04,7.748136926132e+02,7.900000000000e-01,0.000000000000e+00,2.638565774141e-14,2.100000000000e-01,
gas,1.235019518100e-04,7.998796714333e+02,7.899993199132e-01,6.800867955959e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.256537597471e-04,8.212062626090e+02,7.900001250677e-01,2.099998749323e-01,0.000000000000e+00,5.785410089262e-192,
gas,1.278342728955e-04,8.390416882462e+02,7.900000000000e-01,0.000000000000e+00,6.270344060906e-15,2.100000000000e-01,
gas,1.300463156402e-04,8.536899344114e+02,7.899994044396e-01,5.955604013431e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.322928233860e-04,8.654930804082e+02,7.900001083264e-01,2.099998916736e-01,0.000000000000e+00,7.821255195009e-216,
gas,1.345768540290e-04,8.748136238408e+02,7.900000000000e-01,0.000000000000e+00,1.318422710331e-15,2.100000000000e-01,
gas,1.369016001537e-04,8.820178058495e+02,7.899994841598e-01,5.158401682397e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.392704020335e-04,8.874608215885e+02,7.900000927471e-01,2.099999072529e-01,0.000000000000e+00,2.765593918757e-243,
gas,1.416867615225e-04,8.914746160669e+02,7.900000000000e-01,0.000000000000e+00,2.422403235926e-16,2.100000000000e-01,
gas,1.441543569306e-04,8.943587296381e+02,7.899995583471e-01,4.416528815889e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.466770589867e-04,8.963743918712e+02,7.900000784465e-01,2.099999215535e-01,0.000000000000e+00,6.334863677356e-275,
gas,1.492589479989e-04,8.977417931647e+02,7.900000000000e-01,0.000000000000e+00,3.835409130151e-17,2.100000000000e-01,
gas,1.519043323358e-04,8.986402179244e+02,7.899996264452e-01,3.735547724664e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.546177683611e-04,8.992105272612e+02,7.900000655035e-01,2.099999344965e-01,0.000000000000e+00,1.795715689614e-311,
gas,1.574040819686e-04,8.995593529470e+02,7.900000000000e-01,0.000000000000e+00,5.151884586435e-18,2.100000000000e-01,
gas,1.602683918783e-04,8.997643185092e+02,7.899996880785e-01,3.119214632800e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.632161348701e-04,8.998796370750e+02,7.900000539586e-01,2.099999460414e-01,0.000000000000e+00,0.000000000000e+00,
gas,1.662530931501e-04,8.999415364864e+02,7.900000000000e-01,0.000000000000e+00,5.768960750811e-19,2.100000000000e-01,
gas,1.693854240632e-04,8.999731084149e+02,7.899997430541e-01,2.569458599823e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.726196923893e-04,8.999883425663e+02,7.900000438152e-01,2.099999561848e-01,0.000000000000e+00,0.000000000000e+00,
gas,1.759629054831e-04,8.999952626197e+02,7.900000000000e-01,0.000000000000e+00,5.280232296633e-20,2.100000000000e-01,
gas,1.794225515463e-04,8.999982058146e+02,7.899997913562e-01,2.086438456446e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.830066413508e-04,8.999993708466e+02,7.900000350421e-01,2.099999649579e-01,0.000000000000e+00,0.000000000000e+00,
gas,1.867237537658e-04,8.999997972039e+02,7.900000000000e-01,0.000000000000e+00,3.863744199972e-21,2.100000000000e-01,
gas,1.905830854800e-04,8.999999403956e+02,7.899998331328e-01,1.668672142778e-07,2.100000000000e-01,0.000000000000e+00,
gas,1.945945053510e-04,8.999999841686e+02,7.900000275778e-01,2.099999724222e-01,0.000000000000e+00,0.000000000000e+00,
gas,1.987686138632e-04,8.999999962378e+02,7.900000000000e-01,0.000000000000e+00,2.204542553174e-22,2.100000000000e-01,
gas,2.031168082281e-04,8.999999992089e+02,7.899998686771e-01,1.313228956517e-07,2.100000000000e-01,0.000000000000e+00,
gas,2.076513537184e-04,8.999999998547e+02,7.900000213354e-01,2.099999786646e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.123854618957e-04,8.999999999770e+02,7.900000000000e-01,0.000000000000e+00,9.535515814552e-24,2.100000000000e-01,
gas,2.173333764646e-04,8.999999999969e+02,7.899998984028e-01,1.015971862564e-07,2.100000000000e-01,0.000000000000e+00,
gas,2.225104675697e-04,8.999999999997e+02,7.900000162085e-01,2.099999837915e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.279333354438e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,3.028671316225e-25,2.100000000000e-01,
gas,2.336199244226e-04,9.000000000000e+02,7.899999228166e-01,7.718344264774e-08,2.100000000000e-01,0.000000000000e+00,
gas,2.395896484557e-04,9.000000000000e+02,7.900000120774e-01,2.099999879226e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.458635293785e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,6.813704529701e-27,2.100000000000e-01,
gas,2.524643493540e-04,9.000000000000e+02,7.899999424885e-01,5.751153265299e-08,2.100000000000e-01,0.000000000000e+00,
gas,2.594168190642e-04,9.000000000000e+02,7.900000088152e-01,2.099999911848e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.667477634157e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,1.042279955166e-28,2.100000000000e-01,
gas,2.744863267356e-04,9.000000000000e+02,7.899999580227e-01,4.197729359874e-08,2.100000000000e-01,0.000000000000e+00,
gas,2.826641996730e-04,9.000000000000e+02,7.900000062938e-01,2.099999937062e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.913158702890e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,1.034894666317e-30,2.100000000000e-01,
gas,3.004789021209e-04,9.000000000000e+02,7.899999700297e-01,2.997032358418e-08,2.100000000000e-01,0.000000000000e+00,
gas,3.101942423505e-04,9.000000000000e+02,7.900000043887e-01,2.099999956113e-01,0.000000000000e+00,0.000000000000e+00,
gas,3.205065635887e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,6.326895918092e-33,2.100000000000e-01,
gas,3.314646432331e-04,9.000000000000e+02,7.899999791014e-01,2.089863068590e-08,2.100000000000e-01,0.000000000000e+00,
gas,3.431217848426e-04,9.000000000000e+02,7.900000029839e-01,2.099999970161e-01,0.000000000000e+00,0.000000000000e+00,
