# step_id=10
# t=1.000000000000e-06
# Ts=3.079368931519e+02
# mpp=4.292008169980e-03
# Rd=9.999999114022e-05
#
phase,r,T,Y_N2,Y_O2,Y_NC7H16,Y_NC12H26,Y_n-Dodecane
gas,1.009999911402e-04,3.429435751923e+02,7.899117658243e-01,2.100882341757e-01,1.002876335742e-14,1.021170435283e-14,
gas,1.030005433006e-04,4.057160454930e+02,7.899999999815e-01,1.008223265128e-14,1.845007268397e-11,2.100000000000e-01,
gas,1.050033059325e-04,4.598790775781e+02,7.883143702268e-01,1.685629804454e-03,2.099999999688e-01,1.003423644796e-14,
gas,1.070104968373e-04,5.077850215544e+02,7.899350571094e-01,2.100649428905e-01,1.004773864466e-14,1.003304629765e-14,
gas,1.090243485170e-04,5.507523748369e+02,7.899999999920e-01,1.004875260935e-14,7.993871716397e-12,2.100000000000e-01,
gas,1.110471156257e-04,5.895964677260e+02,7.891221555958e-01,8.778444238419e-04,2.099999999803e-01,1.000000000000e-14,
gas,1.130810825445e-04,6.248619476211e+02,7.899525342235e-01,2.100474657765e-01,1.005985058256e-14,1.000000000000e-14,
gas,1.151285711214e-04,6.569372857034e+02,7.899999999967e-01,1.000000000000e-14,3.262369109439e-12,2.100000000000e-01,
gas,1.171919486201e-04,6.861159487212e+02,7.895593216527e-01,4.406783588460e-04,2.099999999884e-01,1.005678553703e-14,
gas,1.192736359235e-04,7.126311500321e+02,7.899654963131e-01,2.100345036869e-01,1.003950434785e-14,1.005653169669e-14,
gas,1.213761160380e-04,7.366766115281e+02,7.899999999988e-01,1.005253571418e-14,1.249575299393e-12,2.100000000000e-01,
gas,1.235019429504e-04,7.584195253298e+02,7.897829086163e-01,2.170913901397e-04,2.099999999936e-01,1.000044648430e-14,
gas,1.256537508876e-04,7.780089739822e+02,7.899750326827e-01,2.100249673173e-01,1.005451870064e-14,1.000036238006e-14,
gas,1.278342640360e-04,7.955816002813e+02,7.899999999996e-01,1.000000000000e-14,4.489471758471e-13,2.100000000000e-01,
gas,1.300463067809e-04,8.112655436926e+02,7.898940880245e-01,1.059119788557e-04,2.099999999966e-01,1.007634746626e-14,
gas,1.322928145268e-04,8.251832341283e+02,7.899820078127e-01,2.100179921873e-01,1.002634989388e-14,1.007766903054e-14,
gas,1.345768451699e-04,8.374533905617e+02,7.899999999998e-01,1.000000000000e-14,1.532648455440e-13,2.100000000000e-01,
gas,1.369015912947e-04,8.481924290460e+02,7.899485629913e-01,5.143701039532e-05,2.099999999983e-01,1.003047293325e-14,
gas,1.392703931748e-04,8.575153992991e+02,7.899870865317e-01,2.100129134683e-01,1.005106397985e-14,1.002995083347e-14,
gas,1.416867526639e-04,8.655365183149e+02,7.899999999999e-01,1.000248536411e-14,5.281241890193e-14,2.100000000000e-01,
gas,1.441543480723e-04,8.723693411751e+02,7.899750450084e-01,2.495499232029e-05,2.099999999992e-01,1.000482897408e-14,
gas,1.466770501286e-04,8.781265964653e+02,7.899907703484e-01,2.100092296516e-01,1.004978502292e-14,1.000389043911e-14,
gas,1.492589391411e-04,8.829197124660e+02,7.900000000000e-01,1.003238309951e-14,2.164768284042e-14,2.100000000000e-01,
gas,1.519043234783e-04,8.868580677829e+02,7.899878657673e-01,1.213423307811e-05,2.099999999997e-01,1.021292701317e-14,
gas,1.546177595039e-04,8.900480138029e+02,7.899934329709e-01,2.100065670291e-01,1.004262956459e-14,1.021471050742e-14,
gas,1.574040731119e-04,8.925917334634e+02,7.900000000000e-01,1.005619097500e-14,1.286079977729e-14,2.100000000000e-01,
gas,1.602683830220e-04,8.945860180560e+02,7.899940614131e-01,5.938587055304e-06,2.099999999998e-01,1.013963087896e-14,
gas,1.632161260143e-04,8.961210572069e+02,7.899953506795e-01,2.100046493204e-01,1.001016151864e-14,1.013947484808e-14,
gas,1.662530842948e-04,8.972793435879e+02,7.900000000000e-01,1.000000000000e-14,1.057126434364e-14,2.100000000000e-01,
gas,1.693854152085e-04,8.981347897041e+02,7.899970558893e-01,2.944110750522e-06,2.099999999999e-01,1.005695136568e-14,
gas,1.726196835353e-04,8.987521385122e+02,7.899967266606e-01,2.100032733394e-01,1.006078546295e-14,1.005666285528e-14,
gas,1.759628966298e-04,8.991867228660e+02,7.900000000000e-01,1.008555382390e-14,1.016746620666e-14,2.100000000000e-01,
gas,1.794225426938e-04,8.994845939932e+02,7.899985071368e-01,1.492863225928e-06,2.100000000000e-01,1.005511047367e-14,
gas,1.830066324991e-04,8.996830011788e+02,7.899977098075e-01,2.100022901924e-01,1.004456601010e-14,1.005518963183e-14,
gas,1.867237449151e-04,8.998111694327e+02,7.900000000000e-01,1.002144473973e-14,1.005981439401e-14,2.100000000000e-01,
gas,1.905830766304e-04,8.998912947155e+02,7.899992154686e-01,7.845313897617e-07,2.100000000000e-01,1.000000000000e-14,
gas,1.945944965026e-04,8.999396613791e+02,7.899984089372e-01,2.100015910628e-01,1.007664505069e-14,1.000000000000e-14,
gas,1.987686050161e-04,8.999677854417e+02,7.900000000000e-01,1.007165780546e-14,1.007667520506e-14,2.100000000000e-01,
gas,2.031167993824e-04,8.999834990941e+02,7.899995662680e-01,4.337320092032e-07,2.100000000000e-01,1.000044013926e-14,
gas,2.076513448743e-04,8.999919129843e+02,7.899989034005e-01,2.100010965995e-01,1.006305689678e-14,1.000035221761e-14,
gas,2.123854530533e-04,8.999962185535e+02,7.900000000000e-01,1.000000000000e-14,1.006732100771e-14,2.100000000000e-01,
gas,2.173333676241e-04,8.999983180283e+02,7.899997446745e-01,2.553254520790e-07,2.100000000000e-01,1.008254358879e-14,
gas,2.225104587313e-04,8.999992905695e+02,7.899992509382e-01,2.100007490618e-01,1.006383936236e-14,1.008268786422e-14,
gas,2.279333266077e-04,8.999997171807e+02,7.900000000000e-01,1.000000000754e-14,1.006855556512e-14,2.100000000000e-01,
gas,2.336199155890e-04,8.999998937978e+02,7.899998394136e-01,1.605863610642e-07,2.100000000000e-01,1.000080912888e-14,
gas,2.395896396249e-04,8.999999625681e+02,7.899994934691e-01,2.100005065309e-01,1.001846529587e-14,1.000064790073e-14,
gas,2.458635205507e-04,8.999999876622e+02,7.900000000000e-01,1.007664487498e-14,1.001693994985e-14,2.100000000000e-01,
gas,2.524643405295e-04,8.999999962114e+02,7.899998929162e-01,1.070837930855e-07,2.100000000000e-01,1.002708498267e-14,
gas,2.594168102434e-04,8.999999989204e+02,7.899996613436e-01,2.100003386564e-01,1.006001174349e-14,1.002721866193e-14,
gas,2.667477545989e-04,8.999999997157e+02,7.900000000000e-01,1.010647785142e-14,1.005890110024e-14,2.100000000000e-01,
gas,2.744863179232e-04,8.999999999311e+02,7.899999254644e-01,7.453558303788e-08,2.100000000000e-01,1.005562421234e-14,
gas,2.826641908655e-04,8.999999999847e+02,7.899997764645e-01,2.100002235355e-01,1.001665451573e-14,1.005560197310e-14,
gas,2.913158614868e-04,8.999999999969e+02,7.900000000000e-01,1.005726408937e-14,1.001492313288e-14,2.100000000000e-01,
