step,t,dt,Ts,Rd,mpp,m_dot,psat,sum_y_cond,sum_y_cond_raw,psat_over_P,eq_source,eq_exc_type,eq_exc_msg,psat_source,hvap_source,latent_source,L_v,q_g,q_l,q_diff,latent,energy_res,energy_sign,fallback_reason,finite_ok,Ts_eff,Tbub,guard_active,clamp_active,eps_bg,penalty_used,penalty_reason,n_penalty_residual,n_lambda_cap_ts,max_Ts_trial_minus_upper,ls_lambda,ls_clip_ts,ls_clip_mpp,ls_shrink_count,regime,regime_locked,sum_x_psat_over_P,Ts_upper,Ts_guard,Ts_hard
0,2e-05,2e-05,402.1919752271004,9.999775329767482e-05,0.0723170562030223,9.08722096049577e-09,1849.4186403749757,0.018252342860843578,0.018252342860843578,0.018252342860843578,computed,,,p2db,p2db,p2db,304653.36298261635,0.10848914828708077,-0.11868715273445055,0.012966525773235673,0.002768576827743597,-5.550187770096346e-08,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,402.1919752271004,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.018252342860843578,484.82493318617344,484.82493318617344,489.32493318617344
1,4e-05,2e-05,407.1693196149406,9.99957972388471e-05,0.06265864344506486,7.873255527264777e-09,2431.2808406001595,0.02399487629509163,0.02399487629509163,0.02399487629509163,computed,,,p2db,p2db,p2db,302388.86979939346,0.11989231869163774,-0.12832627221303283,0.010814815968737158,0.00238087798446109,-1.5537119019311263e-08,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,407.1693196149406,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.02399487629509163,484.82493318617344,484.82493318617344,489.32493318617344
2,6.000000000000001e-05,2e-05,411.02713385103885,9.999373051598337e-05,0.06592671789622802,8.283556934479756e-09,2991.8145623778096,0.029526914013104463,0.029526914013104463,0.029526914013104463,computed,,,p2db,p2db,p2db,300614.4954278424,0.1213059130555832,-0.12981945004269677,0.011003794005956231,0.0024902602250237793,-3.2061811079328595e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,411.02713385103885,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.029526914013104463,484.82493318617344,484.82493318617344,489.32493318617344
3,8e-05,2e-05,414.21207421395985,9.999151924798203e-05,0.07028070913401664,8.830236448717593e-09,3540.4172829414424,0.03494120190418399,0.03494120190418399,0.03494120190418399,computed,,,p2db,p2db,p2db,299136.6211720731,0.12007405303339612,-0.12880080358486268,0.011368313045119505,0.0026415639255684287,-1.4319154820197078e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,414.21207421395985,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.03494120190418399,484.82493318617344,484.82493318617344,489.32493318617344
4,0.0001,2e-05,416.96400085092273,9.99891569420492e-05,0.07483914809662982,9.402525340218872e-09,4086.331131643662,0.04032895269325104,0.04032895269325104,0.04032895269325104,computed,,,p2db,p2db,p2db,297850.01143762603,0.1182743689887242,-0.12721806913088538,0.01174437400725938,0.0028006746107913294,-7.456931192320604e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,416.96400085092273,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.04032895269325104,484.82493318617344,484.82493318617344,489.32493318617344
5,0.00012,2e-05,419.4095170213177,9.99866439545467e-05,0.07938181841570091,9.972749038956856e-09,4634.388200685584,0.04573785542250761,0.04573785542250761,0.04573785542250761,computed,,,p2db,p2db,p2db,296698.99953684217,0.11646762769671652,-0.1256011376399157,0.012092551360182004,0.002959053398033278,-1.1981050457299247e-08,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,419.4095170213177,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.04573785542250761,484.82493318617344,484.82493318617344,489.32493318617344
6,0.00014000000000000001,2e-05,421.62433593405143,9.998398297956857e-05,0.0838337465433588,1.0531484819677501e-08,5187.377631054242,0.05119543677329624,0.05119543677329624,0.05119543677329624,computed,,,p2db,p2db,p2db,295650.24441016314,0.11479498155738513,-0.12408234419832295,0.012401173364583927,0.0031138017958434057,8.927802697209636e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,421.62433593405143,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.05119543677329624,484.82493318617344,484.82493318617344,489.32493318617344
7,0.00016,2e-05,423.65759691985824,9.998117767328746e-05,0.08816437536909094,1.1074891876671358e-08,5746.978780095062,0.05671827071399024,0.05671827071399024,0.05671827071399024,computed,,,p2db,p2db,p2db,294682.0872955811,0.11327708370647052,-0.1226803412812219,0.012667004400640799,0.003263755398225983,-8.572336567588129e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,423.65759691985824,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.05671827071399024,484.82493318617344,484.82493318617344,489.32493318617344
8,0.00018,2e-05,425.5430254363706,9.997823216755003e-05,0.09235896759039987,1.1601117889600697e-08,6314.173878685316,0.06231605110965029,0.06231605110965029,0.06231605110965029,computed,,,p2db,p2db,p2db,293779.66115416086,0.11190095034974396,-0.12138264561496329,0.012890061137301225,0.003408373305120685,-7.433038790374824e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,425.5430254363706,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.06231605110965029,484.82493318617344,484.82493318617344,489.32493318617344
9,0.0002,2e-05,427.3047764797378,9.997515086045518e-05,0.09640964447623653,1.2109172938413449e-08,6889.474330138585,0.06799382511856487,0.06799382511856487,0.06799382511856487,computed,,,p2db,p2db,p2db,292932.3240226122,0.11064634772844745,-0.12017061250065725,0.0130716451267712,0.0035473868268330174,-6.472271618825076e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,427.3047764797378,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.06799382511856487,484.82493318617344,484.82493318617344,489.32493318617344
