idx,value
0,5.0748789155099269e+02
1,5.4117966012588249e+02
2,5.7052286506930864e+02
3,5.9710093376315479e+02
4,6.2173212405793572e+02
5,6.4488118054135282e+02
6,6.6684117545793174e+02
7,6.8781200031099729e+02
8,7.0793856296730326e+02
9,7.2733110068895041e+02
10,7.4607675627382616e+02
11,7.6424655661177974e+02
12,7.8189982257999100e+02
13,7.9908707061838504e+02
14,8.1585199023758526e+02
15,8.3223283408528584e+02
16,8.4826342211655867e+02
17,8.6397388465712993e+02
18,8.7939122395798188e+02
19,8.9453974639033879e+02
20,9.0944140028792606e+02
21,9.2411604346883928e+02
22,9.3858165728471545e+02
23,9.5285451924538188e+02
24,9.6694934300278783e+02
25,9.8087939222164675e+02
26,9.9465657328254213e+02
27,1.0082916663661042e+03
28,1.0217944588161430e+03
29,1.0351735776986422e+03
30,1.0484364663127933e+03
31,1.0615894877724872e+03
32,1.0746379528273922e+03
33,1.0875861419269186e+03
34,1.1004373229215394e+03
35,1.1131937655757547e+03
36,1.1258567540146641e+03
37,1.1384265981935507e+03
38,1.1509026454595141e+03
39,1.1632832932595795e+03
40,1.1755660040356208e+03
41,1.1877473233265223e+03
42,1.1998229020672497e+03
43,1.2117875240273224e+03
44,1.2236351392625991e+03
45,1.2353589043595780e+03
46,1.2469512301264122e+03
47,1.2584038372261164e+03
48,1.2697078200525009e+03
49,1.2808537189173037e+03
50,1.2918316003480611e+03
51,1.3026311449924140e+03
52,1.3132417422900126e+03
53,1.3236525907133014e+03
54,1.3338528020006420e+03
55,1.3438315074180621e+03
56,1.3535779636987706e+03
57,1.3630816559324071e+03
58,1.3723323943184389e+03
59,1.3813204013695495e+03
60,1.3900363858604339e+03
61,1.3984715995750789e+03
62,1.4066178727248255e+03
63,1.4144676238117970e+03
64,1.4220138397356443e+03
65,1.4292500221533580e+03
66,1.4361700966190203e+03
67,1.4427682820476462e+03
68,1.4490389198770210e+03
69,1.4549762654218571e+03
70,1.4605742490222119e+03
71,1.4658262226328766e+03
72,1.4707247196603728e+03
73,1.4752612733612502e+03
74,1.4794263627817513e+03
75,1.4832095844407870e+03
76,1.4866001789374332e+03
77,1.4895880647022898e+03
78,1.4921655273017705e+03
79,1.4943296514856302e+03
80,1.4960854243753838e+03
81,1.4974491455402465e+03
82,1.4984513560447788e+03
83,1.4991380506633743e+03
84,1.4995687519144487e+03
85,1.4998105597911629e+03
86,1.4999288915524889e+03
87,1.4999778628979450e+03
88,1.4999944567555299e+03
89,1.4999989155019919e+03
90,1.4999998383714344e+03
91,1.4999999820194348e+03
92,1.4999999985294121e+03
93,1.4999999999125132e+03
94,1.4999999999962422e+03
95,1.4999999999998834e+03
96,1.5000000000000002e+03
97,1.4999999999999977e+03
98,1.5000000000000011e+03
99,1.4999999999999980e+03
100,4.3209742925580923e-03
101,0.0000000000000000e+00
102,9.9251128577847203e-01
103,9.4624578242322680e-03
104,0.0000000000000000e+00
105,9.5661437529775040e-01
106,1.4310219778489024e-02
107,0.0000000000000000e+00
108,9.2296266321362330e-01
109,1.8898634531369272e-02
110,0.0000000000000000e+00
111,8.9169409860380477e-01
112,2.3265288174678444e-02
113,0.0000000000000000e+00
114,8.6248170442696492e-01
115,2.7439279268202599e-02
116,0.0000000000000000e+00
117,8.3505057289303453e-01
118,3.1444088531369610e-02
119,0.0000000000000000e+00
120,8.0917494017053049e-01
121,3.5299203164398385e-02
122,0.0000000000000000e+00
123,7.8466747735744957e-01
124,3.9021131211183703e-02
125,0.0000000000000000e+00
126,7.6137079141323838e-01
127,4.2624077592287715e-02
128,0.0000000000000000e+00
129,7.3915114069657262e-01
130,4.6120417427102801e-02
131,0.0000000000000000e+00
132,7.1789376797825721e-01
133,4.9521040505473617e-02
134,0.0000000000000000e+00
135,6.9749937569535236e-01
136,5.2835609847543298e-02
137,0.0000000000000000e+00
138,6.7788141572825400e-01
139,5.6072760671472412e-02
140,0.0000000000000000e+00
141,6.5896397110320604e-01
142,5.9240256629791217e-02
143,0.0000000000000000e+00
144,6.4068007648396685e-01
145,6.2345114530123917e-02
146,0.0000000000000000e+00
147,6.2297037001980182e-01
148,6.5393705237507621e-02
149,0.0000000000000000e+00
150,6.0578199962202517e-01
151,6.8391836196648348e-02
152,0.0000000000000000e+00
153,5.8906772753202863e-01
154,7.1344819501785020e-02
155,0.0000000000000000e+00
156,5.7278519149168594e-01
157,7.4257528412449689e-02
158,0.0000000000000000e+00
159,5.5689629107324579e-01
160,7.7134444491767915e-02
161,0.0000000000000000e+00
162,5.4136667512520109e-01
163,7.9979697027007482e-02
164,0.0000000000000000e+00
165,5.2616531171862124e-01
166,8.2797096015807856e-02
167,0.0000000000000000e+00
168,5.1126412602649329e-01
169,8.5590159721507963e-02
170,0.0000000000000000e+00
171,4.9663769460796098e-01
172,8.8362137588596484e-02
173,0.0000000000000000e+00
174,4.8226298690873987e-01
175,9.1116029153531980e-02
176,0.0000000000000000e+00
177,4.6811914658018777e-01
178,9.3854599458610910e-02
179,0.0000000000000000e+00
180,4.5418730661447287e-01
181,9.6580391226866180e-02
182,0.0000000000000000e+00
183,4.4045043422936814e-01
184,9.9295734100559960e-02
185,0.0000000000000000e+00
186,4.2689320159033317e-01
187,1.0200275159358765e-01
188,0.0000000000000000e+00
189,4.1350187702035440e-01
190,1.0470336607138166e-01
191,0.0000000000000000e+00
192,4.0026423355267349e-01
193,1.0739930168521382e-01
194,0.0000000000000000e+00
195,3.8716947395179335e-01
196,1.1009208539638730e-01
197,0.0000000000000000e+00
198,3.7420817037470505e-01
199,1.1278304631474391e-01
200,0.0000000000000000e+00
201,3.6137221655773438e-01
202,1.1547331350475273e-01
203,0.0000000000000000e+00
204,3.4865479095888613e-01
205,1.1816381240780641e-01
206,0.0000000000000000e+00
207,3.3605032945275587e-01
208,1.2085526002951900e-01
209,0.0000000000000000e+00
210,3.2355450629469845e-01
211,1.2354815904468287e-01
212,0.0000000000000000e+00
213,3.1116422216222622e-01
214,1.2624279098518251e-01
215,0.0000000000000000e+00
216,2.9887759815230075e-01
217,1.2893920868642086e-01
218,0.0000000000000000e+00
219,2.8669397464625157e-01
220,1.3163722818552370e-01
221,0.0000000000000000e+00
222,2.7461391398243290e-01
223,1.3433642028365800e-01
224,0.0000000000000000e+00
225,2.6263920588785816e-01
226,1.3703610200556576e-01
227,0.0000000000000000e+00
228,2.5077287462301096e-01
229,1.3973532821004520e-01
230,0.0000000000000000e+00
231,2.3901918678615022e-01
232,1.4243288362900328e-01
233,0.0000000000000000e+00
234,2.2738365872960292e-01
235,1.4512727563061162e-01
236,0.0000000000000000e+00
237,2.1587306253058991e-01
238,1.4781672802005405e-01
239,0.0000000000000000e+00
240,2.0449542946662255e-01
241,1.5049917620378378e-01
242,0.0000000000000000e+00
243,1.9326004995575216e-01
244,1.5317226404894044e-01
245,0.0000000000000000e+00
246,1.8217746894140466e-01
247,1.5583334276679009e-01
248,0.0000000000000000e+00
249,1.7125947572263031e-01
250,1.5847947213744504e-01
251,0.0000000000000000e+00
252,1.6051908726156172e-01
253,1.6110742436753941e-01
254,0.0000000000000000e+00
255,1.4997052401405891e-01
256,1.6371369083514581e-01
257,0.0000000000000000e+00
258,1.3962917732782193e-01
259,1.6629449192403781e-01
260,0.0000000000000000e+00
261,1.2951156740508415e-01
262,1.6884579008353773e-01
263,0.0000000000000000e+00
