idx,value
0,-3.6419421675592984e-06
1,-4.7936937147002396e-07
2,4.2848594055961459e-07
3,-2.5154346687243251e-09
4,-6.2446247207373701e-10
5,-7.2255099509107190e-11
6,7.4100396753961406e-11
7,9.4927349596280631e-11
8,7.6777221878076606e-11
9,4.8669329231330124e-11
10,2.0515747487099060e-11
11,-4.6029734625254771e-12
12,-2.6109386164227840e-11
13,-4.4271386563742100e-11
14,-5.9627051108848453e-11
15,-7.2725140261646614e-11
16,-8.4074947176699420e-11
17,-9.4105913241447414e-11
18,-1.0316747946919501e-10
19,-1.1156796660253897e-10
20,-1.1955478736992227e-10
21,-1.2735115908551066e-10
22,-1.3514340186538519e-10
23,-1.4310177180755329e-10
24,-1.5139728839103800e-10
25,-1.4494042388794360e-10
26,-1.9141161852352566e-10
27,-1.8730691432109426e-10
28,-1.6633157556714219e-10
29,-2.1073847859101269e-10
30,-2.1694623805355299e-10
31,-2.3251855277328088e-10
32,-2.4994060604141933e-10
33,-2.6946151167045188e-10
34,-2.9134685154419200e-10
35,-3.1585183425591496e-10
36,-3.4321080325421491e-10
37,-3.7363003384993557e-10
38,-4.0721056971388933e-10
39,-4.4390033264194137e-10
40,-4.8336970610775633e-10
41,-5.2484810251883043e-10
42,-5.6687278450337692e-10
43,-6.0689550615115146e-10
44,-6.4069150439905718e-10
45,-6.6147161660153463e-10
46,-6.5852830489279946e-10
47,-6.1518586535387811e-10
48,-5.0564558845946483e-10
49,-2.9023857578237305e-10
50,9.1932401562322546e-11
51,7.3430075414245854e-10
52,1.7802928751127848e-09
53,3.4506432170930068e-09
54,6.0859388178394860e-09
55,1.0213731170035318e-08
56,1.6654737216671463e-08
57,2.6692401673892488e-08
58,4.2344217472170779e-08
59,6.6800781625672232e-08
60,1.0513837144134760e-07
61,1.6548556586581907e-07
62,2.6094247568830145e-07
63,4.1276014774512435e-07
64,6.5563095967577759e-07
65,1.0465370095957216e-06
66,1.6795987957931438e-06
67,2.7110429945998745e-06
68,4.4011975358973200e-06
69,7.1849387697389820e-06
70,1.1789182254977181e-05
71,1.9426729968089250e-05
72,3.2110656329762602e-05
73,5.3150829667565760e-05
74,8.7906880765011226e-05
75,1.4485929282400463e-04
76,2.3697626711377358e-04
77,3.8310936538326929e-04
78,6.0861469751207289e-04
79,9.4343933848160951e-04
80,1.4146471235695775e-03
81,2.0296493984061437e-03
82,2.7487101014865927e-03
83,3.4546786263094081e-03
84,3.9460278303709243e-03
85,3.9937646950707669e-03
86,3.4772378287080655e-03
87,2.5207562813900335e-03
88,1.4714044640655539e-03
89,6.7024191112700243e-04
90,2.3199724913489482e-04
91,5.9781921448116853e-05
92,1.1302370605533673e-05
93,1.5528134416077696e-06
94,1.5404162840907549e-07
95,1.1380622822006523e-08
96,6.4359417098692006e-10
97,-1.8906159115163800e-12
98,-1.6038723720732701e-30
99,-2.0463630749074724e-12
100,2.9750752526838220e-04
101,6.2183979566725446e-03
102,6.0384886187363207e-03
103,-1.7276232081287464e-07
104,2.8497712211526614e-07
105,3.3217718288206866e-07
106,-1.5134534715330580e-08
107,-1.4827202330223951e-09
108,3.8962463631977837e-10
109,-8.6060850324001981e-09
110,-1.1670489951268708e-08
111,-1.1131837339203793e-08
112,-5.0259842602374161e-09
113,-1.2656897653487920e-08
114,-1.2456542976618749e-08
115,-3.0708895145221480e-09
116,-1.1451741028546631e-08
117,-1.1334790049918296e-08
118,-1.9631212012226603e-09
119,-9.9208428076191502e-09
120,-9.8260438540001922e-09
121,-1.3149395383674257e-09
122,-8.5374263146124475e-09
123,-8.4455363203879038e-09
124,-9.1652343078910439e-10
125,-7.3786573105719251e-09
126,-7.2884314557726551e-09
127,-6.6067015604226600e-10
128,-6.4296612115916573e-09
129,-6.3401278132538664e-09
130,-4.9553357076658542e-10
131,-5.6558703705359858e-09
132,-5.5667090150570820e-09
133,-3.8346837210799555e-10
134,-5.0164828180692692e-09
135,-4.9286259908214142e-09
136,-3.0319397258149867e-10
137,-4.4836483902746972e-09
138,-4.3985049948328058e-09
139,-2.4524824262631610e-10
140,-4.0365679376053483e-09
141,-3.9525532840673059e-09
142,-2.0060500695935882e-10
143,-3.6581754096933922e-09
144,-3.5748726717858194e-09
145,-1.7073728026444634e-10
146,-3.3358068749283762e-09
147,-3.2527264693573092e-09
148,-1.4560353859010546e-10
149,-3.0566743027393605e-09
150,-2.9750062444028792e-09
151,-1.2586990188201596e-10
152,-2.8130829953571056e-09
153,-2.7325453274966662e-09
154,-1.1168181842820753e-10
155,-2.5991921970694177e-09
156,-2.5203529885297528e-09
157,-9.8792187350295277e-11
158,-2.4092771231549171e-09
159,-2.3317714085351421e-09
160,-8.8298346324186852e-11
161,-2.2415961118728854e-09
162,-2.1647718707845167e-09
163,-7.9725426166165529e-11
164,-2.0908049292436394e-09
165,-2.0147332413535186e-09
166,-7.3580625153656759e-11
167,-1.9545782537913223e-09
168,-1.8792182716826971e-09
169,-6.7122035031958344e-11
170,-1.8289920644973675e-09
171,-1.7554008416304923e-09
172,-6.1896928896142581e-11
173,-1.7133471188043558e-09
174,-1.6408370475685472e-09
175,-5.7776037912459909e-11
176,-1.6066814865220913e-09
177,-1.5350316731480480e-09
178,-5.3471114395695140e-11
179,-1.5051750676134587e-09
180,-1.4355261154256234e-09
181,-4.9878322577159825e-11
182,-1.4069243248852846e-09
183,-1.3391546698377986e-09
184,-4.5630485129694835e-11
185,-1.3101505897436658e-09
186,-1.2449939520699579e-09
187,-4.1991912043144126e-11
188,-1.2175967944982683e-09
189,-1.1546831577368814e-09
190,-3.7884077800967049e-11
191,-1.1237955694068630e-09
192,-1.0641419764895581e-09
193,-3.5118838866880053e-11
194,-1.0296136606631299e-09
195,-9.7235196485423612e-10
196,-3.1088396646457311e-11
197,-9.3074626230909267e-10
198,-8.7760884360368910e-10
199,-2.8123613677960643e-11
200,-8.2700689022484343e-10
201,-7.7824228221899524e-10
202,-2.4097444635798526e-11
203,-7.1611073922668106e-10
204,-6.7245535802209026e-10
205,-2.0388178598694314e-11
206,-5.9611182714070805e-10
207,-5.5834118112544916e-10
208,-1.5808451723633380e-11
209,-4.6312997614867586e-10
210,-4.3303598751748706e-10
211,-1.0549530392625299e-11
212,-3.1440345461831633e-10
213,-2.9367862301973027e-10
214,-5.0391171648365906e-12
215,-1.4702430355882165e-10
216,-1.3719556000501695e-10
217,1.4965415930332366e-12
218,4.3736795112791932e-11
219,4.0672805086386902e-11
220,8.8991317747341665e-12
221,2.6296910316419554e-10
222,2.4414300235849942e-10
223,1.7938855937643390e-11
224,5.1682924599675296e-10
225,4.7924434480195426e-10
226,2.8691771843977392e-11
227,8.1202543256638187e-10
228,7.5178346624205687e-10
229,4.0061534487200329e-11
230,1.1557855135969768e-09
231,1.0685513803647500e-09
232,5.6519315340101326e-11
233,1.5631329831958150e-09
234,1.4434084349750988e-09
235,7.1882702732505834e-11
236,2.0434371135294278e-09
237,1.8807081578832803e-09
238,9.7335833128285362e-11
239,2.6117827164476774e-09
240,2.4031203328159597e-09
241,1.1986906998016735e-10
242,3.2861463182632090e-09
243,3.0168223150224981e-09
244,1.4497384847159928e-10
245,4.0901491523875246e-09
246,3.7455349557521651e-09
247,1.8916079901762244e-10
248,5.0506622603492916e-09
249,4.6206477633882332e-09
250,2.2254469343372068e-10
251,6.1860127974921777e-09
252,5.6553341982175398e-09
253,2.8045240345356683e-10
254,7.5573196560041149e-09
255,6.9059750579721147e-09
256,3.4403643506174017e-10
257,9.2112092015439668e-09
258,8.4061998872367505e-09
259,4.1465871238651216e-10
260,1.1187159991409689e-08
261,1.0194740822504636e-08
262,5.1596419808546559e-10
263,1.3586870612857928e-08
264,1.2349803342318802e-08
265,6.2397732615781486e-10
266,1.6460275117239390e-08
267,1.4952727275563959e-08
268,7.8675689421249180e-10
269,1.9969001212262885e-08
270,1.8114154269496812e-08
271,9.6154372403745554e-10
272,2.4191829198782623e-08
273,2.1941781988251166e-08
274,1.1584919058243371e-09
275,2.9277243350256511e-08
276,2.6506644198631184e-08
277,1.4231355755851895e-09
278,3.5539868020551895e-08
279,3.2120366675546730e-08
280,1.7994229862968680e-09
281,4.3226428442155159e-08
282,3.8922694407608016e-08
283,2.2443590933468246e-09
284,5.2509375211227069e-08
285,4.7265547628087800e-08
286,2.7403607288080038e-09
287,6.4020858413306447e-08
288,5.7475791476216833e-08
289,3.4912634008302268e-09
290,7.8045840599159659e-08
291,6.9845027918561882e-08
292,4.4598105181250880e-09
293,9.5528565451960586e-08
294,8.5316603137711898e-08
295,5.9179426740113835e-09
296,1.1715961556561596e-07
297,1.0405390238065216e-07
298,8.2839475358998104e-09
299,1.4454573179071879e-07
300,1.2719878028591933e-07
301,1.1515143022254808e-08
302,1.7976966915684447e-07
303,1.5677191896166744e-07
304,1.6209848324961178e-08
305,2.2465409535875304e-07
306,1.9271448681119181e-07
307,2.4139390140805930e-08
308,2.8265381547718906e-07
309,2.3759329075571204e-07
310,3.4560506423655800e-08
311,3.6032910617601581e-07
312,2.9477454437186896e-07
313,5.4132469204620123e-08
314,4.6565104400509159e-07
315,3.7053834058634209e-07
316,8.7315391959894119e-08
317,6.1158936818090238e-07
318,4.6695129127619972e-07
319,1.3198700545853310e-07
320,8.1430712164804974e-07
321,5.8978537554890831e-07
322,2.0699271383276460e-07
323,1.0878949261413025e-06
324,7.4897836987371580e-07
325,3.2547748103059721e-07
326,1.4825312733299225e-06
327,9.7433904109563403e-07
328,4.9378295038700631e-07
329,2.0142917201553492e-06
330,1.2462835258673692e-06
331,7.3169770030818133e-07
332,2.7261514716313018e-06
333,1.6053612215707430e-06
334,1.0246015636789506e-06
335,3.5413075448335949e-06
336,2.0230767145734915e-06
337,1.3764651706202919e-06
338,4.5120724375934442e-06
339,2.4262170267683807e-06
340,1.5779851702834612e-06
341,5.1931176558618167e-06
342,2.7074062597854211e-06
343,1.7402101066596247e-06
344,5.6137127429047277e-06
345,2.8068172343131845e-06
346,1.9145976348911032e-06
347,5.4202690678961009e-06
348,2.6869609015957092e-06
349,1.4012494664408560e-06
350,4.4080384472577642e-06
351,2.1192475126033940e-06
352,1.0439288847620345e-06
353,3.0876188413301052e-06
354,1.6139823453246291e-06
355,5.9296641864525977e-07
356,1.6399567460905230e-06
357,9.2247565145819775e-07
358,2.6495366593151941e-07
359,5.7706661137189750e-07
360,2.5647404884662503e-07
361,5.4961463333167721e-08
362,1.3300634728047940e-07
363,6.6503173604887114e-08
364,-2.2847723197263066e-08
365,2.9120660928686692e-22
366,-2.7645803457293631e-08
367,1.9647226333491353e-14
368,1.7852641700447665e-08
369,-2.8946007923822766e-19
370,5.5662977968202296e-15
371,4.3586331059416624e-09
372,-4.3586331059613542e-09
373,1.3026916951550666e-09
374,1.5762555229463437e-09
375,-9.9384620576770755e-22
376,1.8467401235142026e-16
377,-2.0801110863870886e-10
378,-3.5535100255529208e-23
379,2.1158857932339266e-17
380,3.9682170089883808e-11
381,-9.1186703186582629e-25
382,4.4933015286154351e-12
383,8.1553390952828153e-12
384,2.7184463650942548e-12
385,-4.5501761587104256e-13
386,-2.7528570785764731e-13
387,-8.2585712357294283e-13
388,-3.0580504577707323e-22
389,5.9760375132898450e-58
390,-2.1175823681357512e-14
391,3.8240950619419058e-22
392,1.6869388558553103e-62
393,2.7018679873422007e-24
394,-2.9487601509175386e-19
395,-1.2037062152415742e-27
396,-6.5201040251638507e-21
397,-4.1633320534069297e-16
398,0.0000000000000000e+00
399,1.9490667861613501e-15
400,-1.2267268399752451e-09
401,-1.0837363146925791e-07
402,-1.1477199839223496e-06
403,-5.2400049111639292e-06
404,-1.4434123518485414e-05
405,-2.8422991666364415e-05
406,-4.4470415242118034e-05
407,-5.9323702141969777e-05
408,-7.0826270779891337e-05
409,-7.8292184908501612e-05
410,-8.2090115395307481e-05
411,-8.3074116655262501e-05
412,-8.2173942749335236e-05
413,-8.0188207936411781e-05
414,-7.7719624000081348e-05
415,-7.5183524835270853e-05
416,-7.2843042376476901e-05
417,-7.0846333757171239e-05
418,-6.5834800382841120e-05
419,-1.6360160727050724e-04
420,5.1393560836064290e-05
421,2.2470786980304569e-05
422,1.7447140935956035e+01
