step,t,dt,Ts,Rd,mpp,m_dot,psat,sum_y_cond,sum_y_cond_raw,psat_over_P,eq_source,eq_exc_type,eq_exc_msg,psat_source,hvap_source,latent_source,L_v,q_g,q_l,q_diff,latent,energy_res,energy_sign,fallback_reason,finite_ok,Ts_eff,Tbub,guard_active,clamp_active,eps_bg,penalty_used,penalty_reason,n_penalty_residual,n_lambda_cap_ts,max_Ts_trial_minus_upper,ls_lambda,ls_clip_ts,ls_clip_mpp,ls_shrink_count,regime,regime_locked,sum_x_psat_over_P,Ts_upper,Ts_guard,Ts_hard
0,2e-05,2e-05,310.4427002849506,9.99999971719015e-05,9.951511858490207e-05,1.2505437911365585e-11,2.482193826557139,2.4497348399280918e-05,2.4497348399280918e-05,2.4497348399280918e-05,computed,,,p2db,p2db,p2db,342258.7765754138,0.10458452456916935,-0.10460123667457008,2.0993945620274687e-05,4.280096122174448e-06,1.744097368370076e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,310.4427002849506,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,2.4497348399280918e-05,486.82493318617344,486.82493318617344,489.7249331861734
1,4e-05,2e-05,315.3830642120503,9.999999386378503e-05,0.00011599964138444646,1.457694305875181e-11,3.90897143967008,3.8578548627387913e-05,3.8578548627387913e-05,3.8578548627387913e-05,computed,,,p2db,p2db,p2db,340402.92146322265,0.12099022567825982,-0.12100961191585986,2.4350914148741302e-05,4.962034331501918e-06,2.642217192399217e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,315.3830642120503,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,3.8578548627387913e-05,486.82493318617344,486.82493318617344,489.7249331861734
2,6.000000000000001e-05,2e-05,318.9881167637459,9.999998980848996e-05,0.00014176255534955316,1.781440446649671e-11,5.396673974736864,5.3261031085485955e-05,5.3261031085485955e-05,5.3261031085485955e-05,computed,,,p2db,p2db,p2db,339038.18827989546,0.12370806211091695,-0.12373171706847093,2.968823909775272e-05,6.0397639054668405e-06,-6.482361692627024e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,318.9881167637459,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,5.3261031085485955e-05,486.82493318617344,486.82493318617344,489.7249331861734
3,8e-05,2e-05,321.91342570573823,9.999998495031578e-05,0.0001693747317882605,2.1284250117163326e-11,6.973885850078203,6.882690204863758e-05,6.882690204863758e-05,6.882690204863758e-05,computed,,,p2db,p2db,p2db,337924.155914309,0.12290938786247892,-0.12293761222163065,3.5414068322117613e-05,7.192462953956255e-06,-2.7537835681362913e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,321.91342570573823,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,6.882690204863758e-05,486.82493318617344,486.82493318617344,489.7249331861734
4,0.0001,2e-05,324.42164451465976,9.999997924113215e-05,0.0001985746804338545,2.4953619929416333e-11,8.656620992942793,8.543420669077515e-05,8.543420669077515e-05,8.543420669077515e-05,computed,,,p2db,p2db,p2db,336964.1679707705,0.12130625825088494,-0.1213393184300887,4.146712594638571e-05,8.40847673748548e-06,-1.5299948641346145e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,324.42164451465976,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,8.543420669077515e-05,486.82493318617344,486.82493318617344,489.7249331861734
5,0.00012,2e-05,326.64270440191063,9.999997263248532e-05,0.00022937356783236357,2.8823916848407514e-11,10.453725996646423,0.00010317025409964394,0.00010317025409964394,0.00010317025409964394,computed,,,p2db,p2db,p2db,336110.34546826215,0.11963605697421238,-0.11967421577784677,4.7845727706044566e-05,9.688017930160714e-06,-1.0938585077617725e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,326.64270440191063,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00010317025409964394,486.82493318617344,486.82493318617344,489.7249331861734
6,0.00014000000000000001,2e-05,328.65224060907707,9.999996507377568e-05,0.0002618438307308423,3.290424321604131e-11,12.37193842913908,0.00012210153890095316,0.00012210153890095316,0.00012210153890095316,computed,,,p2db,p2db,p2db,335334.77614718344,0.11809373456581031,-0.11813726457342127,5.45630364333461e-05,1.103393870119086e-05,-9.098788121308558e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,328.65224060907707,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00012210153890095316,486.82493318617344,486.82493318617344,489.7249331861734
7,0.00016,2e-05,330.4988841899603,9.999995651158072e-05,0.00029608005639364756,3.7206484840584033e-11,14.417468898013903,0.00014228935502604394,0.00014228935502604394,0.00014228935502604394,computed,,,p2db,p2db,p2db,334619.4848234863,0.11671716968806037,-0.1167663579616049,6.163746244507013e-05,1.2450016921439184e-05,-8.280208949814233e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,330.4988841899603,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00014228935502604394,486.82493318617344,486.82493318617344,489.7249331861734
8,0.00018,2e-05,332.21591505565056,9.99999468895287e-05,0.00033218028980968104,4.174296198553389e-11,16.596381396281142,0.00016379354943282646,0.00016379354943282646,0.00016379354943282646,computed,,,p2db,p2db,p2db,333952.1529788479,0.11549855169997657,-0.11555370066605906,6.908832564307483e-05,1.3940154709442155e-05,-7.951488639683477e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,332.21591505565056,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00016379354943282646,486.82493318617344,486.82493318617344,489.7249331861734
9,0.0002,2e-05,333.82712694936,9.999993614837048e-05,0.0003702394624045489,4.6525603591597624e-11,18.91467582328534,0.00018667333652391157,0.00018667333652391157,0.00018667333652391157,computed,,,p2db,p2db,p2db,333323.96328733844,0.11441854035542512,-0.11447996737082979,7.693433149010085e-05,1.5508101914988064e-05,-7.858295536539866e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,333.82712694936,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00018667333652391157,486.82493318617344,486.82493318617344,489.7249331861734
