idx,value
0,5.0770471761823188e+02
1,5.4139975242817275e+02
2,5.7073085191914106e+02
3,5.9729193019462014e+02
4,6.2190552077120424e+02
5,6.4503780089727593e+02
6,6.6698230382007182e+02
7,6.8793901671352990e+02
8,7.0805280070803826e+02
9,7.2743379339058083e+02
10,7.4616902269398508e+02
11,7.6432940157637177e+02
12,7.8197414452011185e+02
13,7.9915367139601767e+02
14,8.1591158529628035e+02
15,8.3228606206074267e+02
16,8.4831085356540393e+02
17,8.6401602981181793e+02
18,8.7942853953173244e+02
19,8.9457264150609910e+02
20,9.0947024162273738e+02
21,9.2414115970660873e+02
22,9.3860334296469557e+02
23,9.5287303808509773e+02
24,9.6696493076497188e+02
25,9.8089225918581417e+02
26,9.9466690637379645e+02
27,1.0082996311208168e+03
28,1.0218002008386368e+03
29,1.0351772239155832e+03
30,1.0484381262887152e+03
31,1.0615892547069068e+03
32,1.0746359044145900e+03
33,1.0875823410997059e+03
34,1.1004318184984591e+03
35,1.1131865928297955e+03
36,1.1258479351805393e+03
37,1.1384161429298217e+03
38,1.1508905512813737e+03
39,1.1632695459577442e+03
40,1.1755505780966173e+03
41,1.1877301823695698e+03
42,1.1998039993129203e+03
43,1.2117668028132077e+03
44,1.2236125336212335e+03
45,1.2353343396738705e+03
46,1.2469246238778549e+03
47,1.2583750998510081e+03
48,1.2696768559213990e+03
49,1.2808204274529610e+03
50,1.2917958772972581e+03
51,1.3025928838674854e+03
52,1.3132008359966092e+03
53,1.3236089333822545e+03
54,1.3338062910438555e+03
55,1.3437820458314804e+03
56,1.3535254626398696e+03
57,1.3630260376056788e+03
58,1.3722735952101909e+03
59,1.3812583758832407e+03
60,1.3899711104156570e+03
61,1.3984030772469077e+03
62,1.4065461385146632e+03
63,1.4143927506544094e+03
64,1.4219359453566208e+03
65,1.4291692768917446e+03
66,1.4360867323130376e+03
67,1.4426826020346950e+03
68,1.4489513100638349e+03
69,1.4548872062100006e+03
70,1.4604843275921019e+03
71,1.4657361446509910e+03
72,1.4706353188299781e+03
73,1.4751735163468900e+03
74,1.4793413459015487e+03
75,1.4831285172320436e+03
76,1.4865243485345238e+03
77,1.4895187744901675e+03
78,1.4921040044930248e+03
79,1.4942769224924889e+03
80,1.4960421656204585e+03
81,1.4974155314443690e+03
82,1.4984269435660681e+03
83,1.4991217538874641e+03
84,1.4995589566569950e+03
85,1.4998053900823231e+03
86,1.4999265650796733e+03
87,1.4999769988264429e+03
88,1.4999942006498748e+03
89,1.4999988568123740e+03
90,1.4999998282497011e+03
91,1.4999999807329009e+03
92,1.4999999984106671e+03
93,1.4999999999046320e+03
94,1.4999999999958686e+03
95,1.4999999999998704e+03
96,1.5000000000000000e+03
97,1.4999999999999977e+03
98,1.5000000000000011e+03
99,1.5000000000000000e+03
100,4.0144364425095174e-03
101,0.0000000000000000e+00
102,9.9397895189767616e-01
103,9.1579461002244990e-03
104,0.0000000000000000e+00
105,9.5818302677105394e-01
106,1.4007631878061607e-02
107,0.0000000000000000e+00
108,9.2450465695032269e-01
109,1.8598258958456609e-02
110,0.0000000000000000e+00
111,8.9320798229324749e-01
112,2.2967323323069961e-02
113,0.0000000000000000e+00
114,8.6396814490502738e-01
115,2.7143861762503788e-02
116,0.0000000000000000e+00
117,8.3651047738155682e-01
118,3.1151313583809636e-02
119,0.0000000000000000e+00
120,8.1060923794777406e-01
121,3.5009137574825051e-02
122,0.0000000000000000e+00
123,7.8607706311028192e-01
124,3.8733821972520559e-02
125,0.0000000000000000e+00
126,7.6275650689439956e-01
127,4.2339557785551409e-02
128,0.0000000000000000e+00
129,7.4051376902144217e-01
130,4.5838710371880975e-02
131,0.0000000000000000e+00
132,7.1923403297382393e-01
133,4.9242162745803439e-02
134,0.0000000000000000e+00
135,6.9881794348766013e-01
136,5.2559573337137976e-02
137,0.0000000000000000e+00
138,6.7917889734656045e-01
139,5.5799574395275428e-02
140,0.0000000000000000e+00
141,6.6024092550943747e-01
142,5.8969927820771956e-02
143,0.0000000000000000e+00
144,6.4193701372069156e-01
145,6.2077649591111998e-02
146,0.0000000000000000e+00
147,6.2420775431240128e-01
148,6.5129110444513125e-02
149,0.0000000000000000e+00
150,6.0700025234646759e-01
151,6.8130118238592705e-02
152,0.0000000000000000e+00
153,5.9026723000303549e-01
154,7.1085985896641224e-02
155,0.0000000000000000e+00
156,5.7396628755125456e-01
157,7.4001587828945281e-02
158,0.0000000000000000e+00
159,5.5805928947406569e-01
160,7.6881406998323132e-02
161,0.0000000000000000e+00
162,5.4251185171223471e-01
163,7.9729574283968971e-02
164,0.0000000000000000e+00
165,5.2729291141690737e-01
166,8.2549901423646405e-02
167,0.0000000000000000e+00
168,5.1237436464647190e-01
169,8.5345908533735096e-02
170,0.0000000000000000e+00
171,4.9773076047967807e-01
172,8.8120846996370725e-02
173,0.0000000000000000e+00
174,4.8333904235732733e-01
175,9.0877718347495404e-02
176,0.0000000000000000e+00
177,4.6917832925461872e-01
178,9.3619289671865294e-02
179,0.0000000000000000e+00
180,4.5522973068075417e-01
181,9.6348105761763642e-02
182,0.0000000000000000e+00
183,4.4147619144034733e-01
184,9.9066498341338044e-02
185,0.0000000000000000e+00
186,4.2790236224180106e-01
187,1.0177659300718200e-01
188,0.0000000000000000e+00
189,4.1449449080000705e-01
190,1.0448031419752324e-01
191,0.0000000000000000e+00
192,4.0124033028906897e-01
193,1.0717938811610007e-01
194,0.0000000000000000e+00
195,3.8812906426981203e-01
196,1.0987534374697540e-01
197,0.0000000000000000e+00
198,3.7515124626299728e-01
199,1.1256951218383705e-01
200,0.0000000000000000e+00
201,3.6229875185241400e-01
202,1.1526302442693362e-01
203,0.0000000000000000e+00
204,3.4956474174675900e-01
205,1.1795680779665381e-01
206,0.0000000000000000e+00
207,3.3694363439680985e-01
208,1.2065158111191064e-01
209,0.0000000000000000e+00
210,3.2443108688317673e-01
211,1.2334784878603776e-01
212,0.0000000000000000e+00
213,3.1202398288150524e-01
214,1.2604589400609378e-01
215,0.0000000000000000e+00
216,2.9972042658364995e-01
217,1.2874577117080305e-01
218,0.0000000000000000e+00
219,2.8751974148521592e-01
220,1.3144729778062159e-01
221,0.0000000000000000e+00
222,2.7542247297896422e-01
223,1.3415004599258523e-01
224,0.0000000000000000e+00
225,2.6343039370482707e-01
226,1.3685333407348510e-01
227,0.0000000000000000e+00
228,2.5154651061056388e-01
229,1.3955621800461437e-01
230,0.0000000000000000e+00
231,2.3977507266859241e-01
232,1.4225748351713086e-01
233,0.0000000000000000e+00
234,2.2812157820278076e-01
235,1.4495563885341109e-01
236,0.0000000000000000e+00
237,2.1659278076820770e-01
238,1.4764890856845619e-01
239,0.0000000000000000e+00
240,2.0519669253583009e-01
241,1.5033522869790161e-01
242,0.0000000000000000e+00
243,1.9394258414524110e-01
244,1.5301224362478158e-01
245,0.0000000000000000e+00
246,1.8284098000984886e-01
247,1.5567730497418450e-01
248,0.0000000000000000e+00
249,1.7190364808133035e-01
250,1.5832747285402932e-01
251,0.0000000000000000e+00
252,1.6114358311468599e-01
253,1.6095951973381165e-01
254,0.0000000000000000e+00
255,1.5057498249220358e-01
256,1.6356993721600066e-01
257,0.0000000000000000e+00
258,1.4021321366771713e-01
259,1.6615494590229457e-01
260,0.0000000000000000e+00
261,1.3007477225108946e-01
262,1.6871050849102856e-01
263,0.0000000000000000e+00
264,1.2017722964008944e-01
265,1.7123234616057306e-01
266,0.0000000000000000e+00
267,1.1053916887859183e-01
268,1.7371595820462593e-01
269,0.0000000000000000e+00
270,1.0118010702744043e-01
271,1.7615664478576801e-01
272,0.0000000000000000e+00
273,9.2120401702678087e-02
274,1.7854953257529663e-01
275,0.0000000000000000e+00
276,8.3381138487703010e-02
277,1.8088960295586168e-01
278,0.0000000000000000e+00
279,7.4983994564002940e-02
280,1.8317172239108293e-01
281,0.0000000000000000e+00
282,6.6951072030486669e-02
283,1.8539067452724484e-01
284,0.0000000000000000e+00
285,5.9304691903496631e-02
286,1.8754119360558064e-01
287,0.0000000000000000e+00
288,5.2067136656403876e-02
289,1.8961799885068861e-01
290,0.0000000000000000e+00
291,4.5260325401858099e-02
292,1.9161582968900723e-01
293,0.0000000000000000e+00
294,3.8905401640707250e-02
295,1.9352948197143835e-01
296,0.0000000000000000e+00
297,3.3022209385786261e-02
298,1.9535384586096410e-01
299,0.0000000000000000e+00
300,2.7628630368753380e-02
301,1.9708394673537666e-01
302,0.0000000000000000e+00
303,2.2739754607955343e-02
304,1.9871499138024964e-01
305,0.0000000000000000e+00
306,1.8366861482000878e-02
307,2.0024242292817709e-01
308,0.0000000000000000e+00
309,1.4516202442834308e-02
310,2.0166198942783334e-01
311,0.0000000000000000e+00
312,1.1187604621959092e-02
313,2.0296983253075757e-01
314,0.0000000000000000e+00
315,8.3729623855031531e-03
316,2.0416260438469158e-01
317,0.0000000000000000e+00
318,6.0547555781812921e-03
319,2.0523762205085744e-01
320,0.0000000000000000e+00
321,4.2048276402241189e-03
322,2.0619306894933714e-01
323,0.0000000000000000e+00
324,2.7837608870981581e-03
325,2.0702825087281884e-01
326,0.0000000000000000e+00
327,1.7412663648846741e-03
328,2.0774390832106729e-01
329,0.0000000000000000e+00
330,1.0180014784817602e-03
331,2.0834257506801221e-01
332,0.0000000000000000e+00
333,5.4905971275222884e-04
334,2.0882895260573681e-01
335,0.0000000000000000e+00
336,2.6897885838299778e-04
337,2.0921024016837408e-01
338,0.0000000000000000e+00
339,1.1751449989626808e-04
340,2.0949632301677779e-01
341,0.0000000000000000e+00
342,4.4833050124438524e-05
343,2.0969968828848740e-01
344,0.0000000000000000e+00
345,1.4590733973469915e-05
346,2.0983493109407481e-01
347,0.0000000000000000e+00
348,3.9512260237803600e-06
349,2.0991776792963743e-01
350,0.0000000000000000e+00
351,8.6840174355313410e-07
352,2.0996361886930459e-01
353,0.0000000000000000e+00
354,1.5129779135794492e-07
355,2.0998603949075395e-01
356,0.0000000000000000e+00
357,2.0467724227611937e-08
358,2.0999547505261215e-01
359,0.0000000000000000e+00
360,2.1134242415480733e-09
361,2.0999879555861178e-01
362,0.0000000000000000e+00
363,1.6434373742681129e-10
364,2.0999974399680535e-01
365,0.0000000000000000e+00
366,9.5279413585745953e-12
367,2.0999995766102064e-01
368,0.0000000000000000e+00
369,4.0883901960158748e-13
370,2.0999999467125791e-01
371,0.0000000000000000e+00
372,1.2916768158834847e-14
373,2.0999999949859588e-01
374,0.0000000000000000e+00
375,2.9936591438345493e-16
376,2.0999999996519608e-01
377,0.0000000000000000e+00
378,5.0763069984840229e-18
379,2.0999999999823468e-01
380,0.0000000000000000e+00
381,6.2854289858954238e-20
382,2.0999999999993493e-01
383,0.0000000000000000e+00
384,5.6739742323712363e-22
385,2.0999999999999808e-01
386,0.0000000000000000e+00
387,3.7292896283653742e-24
388,2.1000000000000016e-01
389,0.0000000000000000e+00
390,1.7824226414598993e-26
391,2.1000000000000002e-01
392,0.0000000000000000e+00
393,6.1872430151559640e-29
394,2.1000000000000010e-01
395,0.0000000000000000e+00
396,1.5585396628505995e-31
397,2.0999999999999996e-01
398,0.0000000000000000e+00
399,5.6455986539946627e-38
400,3.9003209483878754e+02
401,3.9009850958692925e+02
402,3.9033306310298025e+02
403,3.9095179423232344e+02
404,3.9223245940077692e+02
405,3.9440904974917646e+02
406,3.9759098628994201e+02
407,4.0175303899844045e+02
408,4.0677539482298340e+02
409,4.1249548669118826e+02
410,4.1874851441280612e+02
411,4.2539097509593898e+02
412,4.3231036744493889e+02
413,4.3942630616158164e+02
414,4.4668736865838190e+02
415,4.5406644095751824e+02
416,4.6155604820604793e+02
417,4.6916432160795370e+02
418,4.7691177862492327e+02
419,4.8482883942013609e+02
420,4.8890758559248547e+02
421,2.0216747627895471e-01
422,9.9234412265233500e-05
