idx,value
0,-3.6348296094974350e-06
1,-4.8203084274332336e-07
2,4.2964737054491300e-07
3,-2.5252130541745559e-09
4,-6.2628310002282790e-10
5,-6.1942832139281267e-11
6,8.6073284073209829e-11
7,1.0598356907999117e-10
8,8.6397401395959132e-11
9,5.6956854308143993e-11
10,2.7677254301993489e-11
11,1.6493347720504518e-12
12,-2.0579887972443908e-11
13,-3.9321345613090884e-11
14,-5.5133477848716006e-11
15,-6.8597140522758739e-11
16,-8.0237487959379664e-11
17,-9.0498457888557187e-11
18,-9.9756919305344480e-11
19,-1.0831398793606464e-10
20,-1.1643703098498420e-10
21,-1.2435471742343189e-10
22,-1.3225763902640795e-10
23,-1.4032429823584121e-10
24,-1.4873051381148299e-10
25,-1.4238736099408642e-10
26,-1.8900309069712174e-10
27,-1.8502580220445250e-10
28,-1.6416540209883561e-10
29,-2.0876117963905715e-10
30,-2.1519913386915292e-10
31,-2.3105224412364424e-10
32,-2.4882619530138446e-10
33,-2.6878460320758286e-10
34,-2.9121249602329182e-10
35,-3.1639556385537007e-10
36,-3.4459569326523783e-10
37,-3.7606247491803551e-10
38,-4.1094451439321306e-10
39,-4.4925300471587289e-10
40,-4.9073878521615901e-10
41,-5.3473413084901515e-10
42,-5.7990539631582906e-10
43,-6.2387327365194215e-10
44,-6.6263953649236307e-10
45,-6.8970253510084782e-10
46,-6.9474776618331762e-10
47,-6.6161135030680850e-10
48,-5.6519852553013966e-10
49,-3.6683435028056168e-10
50,-6.9534007664884168e-12
51,6.0598838678092775e-10
52,1.6127429144692832e-09
53,3.2301873332080971e-09
54,5.7932679271664397e-09
55,9.8213032238470709e-09
56,1.6122774174889188e-08
57,2.5962524601892136e-08
58,4.1329926800924348e-08
59,6.5372153835630756e-08
60,1.0309811506917629e-07
61,1.6253069447901692e-07
62,2.5660249039868712e-07
63,4.0629758011419607e-07
64,6.4587972648635358e-07
65,1.0316393454380434e-06
66,1.6565742867071866e-06
67,2.6750933566381725e-06
68,4.3445741722761791e-06
69,7.0951334837650694e-06
70,1.1646078955177711e-05
71,1.9198244319853968e-05
72,3.1746359143543285e-05
73,5.2573310216798707e-05
74,8.7001571322198958e-05
75,1.4346624425438427e-04
76,2.3489310446911938e-04
77,3.8012614266407841e-04
78,6.0461790226318626e-04
79,9.3864240970571678e-04
80,1.4100045751376414e-03
81,2.0274438461755410e-03
82,2.7530830738693546e-03
83,3.4714652884428824e-03
84,3.9809096539319948e-03
85,4.0482998567543081e-03
86,3.5447080688960852e-03
87,2.5866094127157267e-03
88,1.5210942124176078e-03
89,6.9852966494165895e-04
90,2.4388416555539102e-04
91,6.3408709404797316e-05
92,1.2097159968455011e-05
93,1.6771590583082905e-06
94,1.6802539305841395e-07
95,1.2010359889669691e-08
96,1.3305449380615427e-09
97,-1.0157551385982799e-09
98,-3.0174989230166803e-09
99,4.7480682977368139e-12
100,2.9435575117991460e-04
101,6.2239421661382018e-03
102,6.0445347812192246e-03
103,-1.7479684443972634e-07
104,2.9116563580344106e-07
105,3.3928610134099281e-07
106,-1.5227778410247135e-08
107,-1.3644014101019778e-09
108,5.2797873906507854e-10
109,-8.6363787787274875e-09
110,-1.1656776392345757e-08
111,-1.1114220791625096e-08
112,-5.0328920597811583e-09
113,-1.2639993311201093e-08
114,-1.2440742422286497e-08
115,-3.0646616213202210e-09
116,-1.1417449692789629e-08
117,-1.1303646901011145e-08
118,-1.9556750223297941e-09
119,-9.8784820913652839e-09
120,-9.7844876412960243e-09
121,-1.3043280289124214e-09
122,-8.4874507868967543e-09
123,-8.3988545842084881e-09
124,-9.0752395305132525e-10
125,-7.3290223662877193e-09
126,-7.2391840731062468e-09
127,-6.5567086088442056e-10
128,-6.3793329263096108e-09
129,-6.2922635031723185e-09
130,-4.8995798448176716e-10
131,-5.6073707847564172e-09
132,-5.5207760517950820e-09
133,-3.7828153310898698e-10
134,-4.9703033086051292e-09
135,-4.8841668105536578e-09
136,-2.9846527001434442e-10
137,-4.4413819464420141e-09
138,-4.3569353421451266e-09
139,-2.4064914785806009e-10
140,-3.9987156201391474e-09
141,-3.9146458848303499e-09
142,-2.0046354335219077e-10
143,-3.6227832164864714e-09
144,-3.5403100771925880e-09
145,-1.6645732978996347e-10
146,-3.3023014816470051e-09
147,-3.2201535809854183e-09
148,-1.4477379714409605e-10
149,-3.0250950505988179e-09
150,-2.9449476001160103e-09
151,-1.2403333662122060e-10
152,-2.7847364238157170e-09
153,-2.7050528785699535e-09
154,-1.0937930784636766e-10
155,-2.5738524170111783e-09
156,-2.4955083597778333e-09
157,-9.6835267485108768e-11
158,-2.3868661022838594e-09
159,-2.3101654316272994e-09
160,-8.6753223543534103e-11
161,-2.2223581551709612e-09
162,-2.1467294248917071e-09
163,-7.9462340218645895e-11
164,-2.0744646020362590e-09
165,-1.9996488284351267e-09
166,-7.2306276229233218e-11
167,-1.9401187902548935e-09
168,-1.8657802073601301e-09
169,-6.7058435600597639e-11
170,-1.8185400913221355e-09
171,-1.7448982613582845e-09
172,-6.1654874802684484e-11
173,-1.7059268269540512e-09
174,-1.6343939630693306e-09
175,-5.6808630452337779e-11
176,-1.6017925617762903e-09
177,-1.5303546641948718e-09
178,-5.3621345279815257e-11
179,-1.5039762226109773e-09
180,-1.4342976551356124e-09
181,-4.9284442444705780e-11
182,-1.4089870728284307e-09
183,-1.3406574418680612e-09
184,-4.5165294196714796e-11
185,-1.3155282391730908e-09
186,-1.2498235226863682e-09
187,-4.2302860695566272e-11
188,-1.2267182113800836e-09
189,-1.1630381802383417e-09
190,-3.8807690614813575e-11
191,-1.1376400343006023e-09
192,-1.0763373512042145e-09
193,-3.4952115394782486e-11
194,-1.0460465985876233e-09
195,-9.8797986509628636e-10
196,-3.2517315541729646e-11
197,-9.5312295932235634e-10
198,-8.9875958290456469e-10
199,-2.8971039162009191e-11
200,-8.5423712660780445e-10
201,-8.0350084915536984e-10
202,-2.5536020486675972e-11
203,-7.4826769317393057e-10
204,-7.0283187164151428e-10
205,-2.0879913904419638e-11
206,-6.3238031109318337e-10
207,-5.9306196900668120e-10
208,-1.6719365589742234e-11
209,-5.0592736913930048e-10
210,-4.7339748003044436e-10
211,-1.2719812820899184e-11
212,-3.6463279342368497e-10
213,-3.4050226799802583e-10
214,-6.9170912399054108e-12
215,-2.0397218731788434e-10
216,-1.9018632881911358e-10
217,-7.0525725538535129e-13
